vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
1,ADIVA,AD,125,,AD 125,,2008,1,4-STROKE,11 KW(15 PS),EUROPE,SCOOTER,SCOOTER
2,ADLY (HERKULES),HURRICANE,500,S,HURRICANE 500 S,,2011,1,4-STROKE,15 KW(20 PS); 34 KW(46 PS),EUROPE,ATV,QUAD
3,ADLY (HERKULES),HURRICANE,280,,HURRICANE 280,,2012,1,4-STROKE,13 KW(17 PS),EUROPE,ATV,QUAD
4,ADLY (HERKULES),BLIZZARD GTA,50,,BLIZZARD GTA 50,,2013,1,2-STROKE,"3,2 KW(4,4 PS)",EUROPE,SCOOTER,SCOOTER
5,ADLY (HERKULES),BLIZZARD GTA,50,,BLIZZARD GTA 50,,2017,1,2-STROKE,"3,2 KW(4,4 PS)",EUROPE,SCOOTER,SCOOTER
6,AEON,REVO 2,50,2X4,REVO 50 2 2X4,,2005,1,2-STROKE,"2,3 KW(3,1 PS)",EUROPE,ATV,QUAD
7,AEON,ELITE,350,I,ELITE 350 I,,2011,1,4-STROKE,17 KW(23 PS),EUROPE,SCOOTER,SCOOTER
8,AEON,COBRA,350,2X4,COBRA 350 2X4,,2012,1,4-STROKE,15 KW(20 PS),EUROPE,ATV,QUAD
9,AEON,ELITE,125,,ELITE 125,,2014,1,4-STROKE,"10,5 KW(14,3 PS)",EUROPE,SCOOTER,SCOOTER
10,AEON,MINIKOLT,50,2X4,MINIKOLT 50 2X4,,2017,1,2-STROKE,"2,3 KW(3,1 PS)",EUROPE,ATV,QUAD
11,APRILIA,ETX,350,,ETX 350,Tuareg,1985,1,4-STROKE,20 KW(27 PS),EUROPE,MOTORBIKE,ENDURO
12,APRILIA,ETX,125,,ETX 125,,1992,1,2-STROKE,,EUROPE,MOTORBIKE,ENDURO
13,APRILIA,AMICO,50,LX,AMICO 50 LX,,1992,1,2-STROKE,"2 KW(2,7 PS)",EUROPE,SCOOTER,SCOOTER
14,APRILIA,AF1,125,,AF1 125,Europa,1993,1,2-STROKE,,EUROPE,MOTORBIKE,NAKEDBIKE
15,APRILIA,PEGASO,50,,PEGASO 50,,1994,1,2-STROKE,,EUROPE,MOTORBIKE,DUAL PURPOSE
16,APRILIA,RS,50,,RS 50,Extrema,1995,1,2-STROKE,"2 KW(2,7 PS)",EUROPE,MOTORBIKE,SPORTBIKE
17,APRILIA,ETX,125,,ETX 125,,1995,1,2-STROKE,,EUROPE,MOTORBIKE,ENDURO
18,APRILIA,GULLIVER,50,AC,GULLIVER 50 AC,,1997,1,2-STROKE,"3 KW(4,1 PS)",EUROPE,SCOOTER,SCOOTER
19,APRILIA,AREA 51,50,,AREA 51 50,,1998,1,2-STROKE,"3 KW(4,1 PS)",EUROPE,SCOOTER,SCOOTER
20,APRILIA,SCARABEO,150,,SCARABEO 150,,2000,1,4-STROKE,"10 KW(13,6 PS)",EUROPE,SCOOTER,SCOOTER
21,APRILIA,MX,50,,MX 50,,2003,1,2-STROKE,"1,5 KW(2 PS)",EUROPE,MOTORBIKE,SUPERMOTO
22,APRILIA,RS,50,,RS 50,Replica,2003,1,2-STROKE,"2 KW(2,7 PS)",EUROPE,MOTORBIKE,SPORTBIKE
23,APRILIA,SR,50,SPORT LC,SR 50 SPORT LC,,2003,1,2-STROKE,"2,5 KW(3,4 PS)",EUROPE,SCOOTER,SCOOTER
24,APRILIA,SR,50,FUNMASTER LC,SR 50 FUNMASTER LC,,2005,1,2-STROKE,"2,7 KW(3,7 PS)",EUROPE,SCOOTER,SCOOTER
25,APRILIA,SR,50,LC DITECH,SR 50 LC DITECH,Replica,2005,1,2-STROKE,"3,3 KW(4,5 PS)",EUROPE,SCOOTER,SCOOTER
26,APRILIA,MX,125,,MX 125,,2005,1,2-STROKE,11 KW(15 PS); 18 KW(24 PS),EUROPE,MOTORBIKE,SUPERMOTO
27,APRILIA,TUONO,1000,R,TUONO 1000 R,,2006,2,4-STROKE,72 KW(98 PS); 98 KW(133 PS),ALL,MOTORBIKE,NAKEDBIKE
28,APRILIA,SPORTCITY,250,I.E.,SPORTCITY 250 I.E.,,2007,1,4-STROKE,,AMERICA,SCOOTER,SCOOTER
29,APRILIA,RXV,450,,RXV 450,4.5,2010,2,4-STROKE,,AMERICA,MOTORBIKE,ENDURO
30,APRILIA,SL,750,GT ABS,SL 750 GT ABS,Shiver,2010,2,4-STROKE,70 KW(95 PS),EUROPE,MOTORBIKE,NAKEDBIKE
31,APRILIA,NA,850,ABS,NA 850 ABS,Mana,2010,2,4-STROKE,56 KW(76 PS),ALL,MOTORBIKE,NAKEDBIKE
32,APRILIA,SCARABEO,50,,SCARABEO 50,Street,2010,1,2-STROKE,,EUROPE,SCOOTER,SCOOTER
33,APRILIA,SR,50,R LC,SR 50 R LC,,2011,1,2-STROKE,"2,7 KW(3,7 PS)",EUROPE,SCOOTER,SCOOTER
